img	rule	cmplx	class	done	correct	t(ms)	conf
11	null	null	CLASS_B	true	false	1502.0	0.5

9	null	null	CLASS_B	true	true	899.0	0.5

7	null	null	CLASS_B	true	true	2500.0	0.5

4	null	null	CLASS_A	true	true	733.0	0.5

1	null	null	CLASS_A	true	true	997.0	0.5

5	null	null	CLASS_A	true	true	1003.0	0.5

0	null	null	CLASS_A	true	true	701.0	0.5

8	null	null	CLASS_B	true	true	966.0	0.5

2	B_35	COMPLEX	CLASS_A	true	true	1666.0	0.0

40	B_35	COMPLEX	CLASS_A	true	false	436.0	0.0

30	B_35	COMPLEX	CLASS_A	true	true	268.0	0.0

47	B_35	COMPLEX	CLASS_A	true	false	534.0	0.0

90	B_35	COMPLEX	CLASS_B	true	true	902.0	0.5

1	B_35	COMPLEX	CLASS_A	true	true	438.0	0.5

7	B_35	COMPLEX	CLASS_A	true	false	432.0	0.5

96	B_35	COMPLEX	CLASS_B	true	true	399.0	0.5

89	B_35	COMPLEX	CLASS_B	true	false	670.0	0.5

17	B_35	COMPLEX	CLASS_A	true	false	401.0	0.5

11	B_35	COMPLEX	CLASS_A	true	true	764.0	0.5

88	B_35	COMPLEX	CLASS_B	true	true	268.0	0.5

76	B_35	COMPLEX	CLASS_B	true	true	600.0	0.5

80	B_35	COMPLEX	CLASS_B	true	false	400.0	0.5

27	B_35	COMPLEX	CLASS_A	true	true	335.0	0.5

85	B_35	COMPLEX	CLASS_B	true	true	434.0	0.5
##	##	##	##	##	##	##	##
##	##	##	##	##	##	##	##
